N	Z	P1n	P2n	P3n	P4n	Qb1n	Qb2n	Qb3n	Qb4n	R1n	R2n	R3n	R4n	Ele	Source:TACHI
28	5	95.5	5	0	2	457	123	23	5	2.3	1.2	0	0	Tet
29	6	45	15	0	15	654	467	3475	56	12	6.1	1.2	0	Tet
30	7	77	0	32	46	875	-546	345	658	34	2.3	0.67	0	Tet
31	8	22	32	10	0	292.1	561	413	-35	2.9	1.6	0	0	Tet
32	9	89	6	0	0	687	321	-45	-178	7.1	0	0	0	Tet
33	10	56	13	11	0	3894	405	125	-456	28.1	0	0	0	Tet
34	11	28	0	0	0	3456	-345	-267	-334	47.9	0	0	0	Tet
35	12	55	0	45	0	127	-456	459	1243	0.78	0	1.05	0.78	Tet
36	13	21	69.9	0	0	823	398	-129	-546	0.5	0	0.18	0	Tet
37	14	11	0	0	0	4523	-56	-234	4563	1.62	17.8	0	0	Tet
38	15	0	32	7	0	-456	3465.2	123	-561	4.5	3.8	9.12	1.3	Tet
30	6	23	0	0	0	244	54	-34	-67	766	12	0	0	Tet
31	7	88	12	0	0	2323	34	-276	-346	23.5	3.6	0	0	Tet
32	8	14	0	0	0	456	-24	1365	-231	1.89	0.53	0	0	Tet
33	9	92	5	0	0	123	86	-453	-673	3.4	0.12	0	0	Tet
34	10	42	23	15	7	5698	236	346	346	6.5	1.1	0	0	Tet
35	11	56	32	0	0	1243	127	-564	-495	8.3	3.7	0	0	Tet
36	12	79	0	0	0	4512	3423	-912	-504	0.23	0	0	0	Tet
37	13	12	6	2	0	9087	678	324	-204	0.44	0	0	0	Tet
38	14	57	13	20	10	1256	281	876	2317	0.6	0	0	0	Tet
39	15	81	0	0	0	342	-451	-905	-76	0.7	0	0	0	Tet
